,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,9253.765188,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,10299.87069,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,11197.59694,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,11923.75262,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,12549.77183,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,12978.76891,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2016,13572.61999,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2017,14344.42124,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2018,15608.96707,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2019,16772.84317,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2020,17311.99807,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2010,4236.744348,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
12,2011,4493.669466,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
13,2012,4861.156152,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
14,2013,5057.233414,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
15,2014,5233.882343,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
16,2015,5464.859178,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
17,2016,5839.864817,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
18,2017,6182.922109,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
19,2018,6675.361294,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
20,2019,6997.863988,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
21,2020,6454.347413,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
22,2010,48466.6576,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
23,2011,49882.55813,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
24,2012,51602.93105,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
25,2013,53106.53677,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
26,2014,55049.98833,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
27,2015,56863.3715,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
28,2016,58021.4005,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
29,2017,60109.65573,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
30,2018,63064.41841,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
31,2019,65279.52903,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
32,2020,63543.57779,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
